dishwasher soap,toilet papper,,,,,,,,,,,,,,
batteries,,,,,,,,,,,,,,,
onion,rice cakes,,,,,,,,,,,,,,
eggs,,,,,,,,,,,,,,,
bread,,,,,,,,,,,,,,,
orange,carrot,beef,potato,rice,soup pasta,basilico,zuchini,lemon,beetrot,rice milk,pumpkin,tomato,eggs,parsnip,leek
buckwheat cakes,hummus,cinamon sticks,apple,,,,,,,,,,,,
ham,chicken,,,,,,,,,,,,,,
tonic water,dehodorant,,,,,,,,,,,,,,
cabbage,pumpkin,spinaches,carob spread,coffee,beans,carrot,apple,,,,,,,,
olive oil,kitchen paper,,,,,,,,,,,,,,
bread,chocolate bread,,,,,,,,,,,,,,
spinaches,hummus,pastry pasta,,,,,,,,,,,,,
fish,clams,,,,,,,,,,,,,,
tea,,,,,,,,,,,,,,,
buckwheat cakes,chickpeas,lentills,,,,,,,,,,,,,
bread,,,,,,,,,,,,,,,
buckwheat cakes,rice cakes,,,,,,,,,,,,,,
compote,,,,,,,,,,,,,,,
rice cakes,,,,,,,,,,,,,,,
dishwasher cleaning soap,toilet papper,toilet cleaning soap,dishwasher tablets,rubbish bags,,,,,,,,,,,
spinaches,beans,,,,,,,,,,,,,,
buckwheat cakes,miso,cookies,rice cakes,plastic bag,,,,,,,,,,,
water,ham,chicken,,,,,,,,,,,,,
unknown,,,,,,,,,,,,,,,
bread,,,,,,,,,,,,,,,
chicken,,,,,,,,,,,,,,,
mushrooms,beans,pumpkin,leek,pear,cabbage,,,,,,,,,,
chickpeas,lentills,tortilla,,,,,,,,,,,,,
compote,cinamon sticks,rice cakes,plastic bag,,,,,,,,,,,,
sardine,fish,salmon,tuna,,,,,,,,,,,,
orange,rice cakes,,,,,,,,,,,,,,
onion,cabbage,carrot,pumpkin,broccoli,bread sticks,,,,,,,,,,
rice cakes,,,,,,,,,,,,,,,
